Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2023-01-23 11:02:29,false,"Dompierre-sur-Yon Course à pied","7.50","538","00:43:34","138","167","2.6","167","193","5:49","3:17","41","40","1.03","9.9","10.4","263","49.5% G / 50.5% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","Non","02:51.99.4","8","22.0","31","19","40","00:43:32","00:43:34","69","85"
Course à pied,2023-01-22 16:08:33,false,"SL Seuil : 2x10' @4’20/km r:2'30","11.46","828","01:00:08","153","182","3.7","170","185","5:15","4:06","73","74","1.12","9.2","10.4","260","49.4% G / 50.6% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","8.0","0:00","Non","01:10.51.3","15","23.0","30","17","42","00:59:56","01:00:08","67","87"
Rameur d'intérieur,2023-01-21 16:06:10,false,"Rameur d'intérieur","--","53","00:05:28.3","121","155","0.5","0","0","--","2:31","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","113","0","0","0","--","0:00","23.0","0:00","Non","05:28.30.3","1","24.0","25","19","31","00:02:05","00:05:28.3","--","--"
En piscine,2023-01-21 10:17:04,false,"En piscine","1,500","274","00:46:18","135","170","2.5","0","0","1:54","1:41","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","579","81","25","0","--","0:00","0.0","0:00","Non","00:00.68.4","27","0.0","--","--","--","00:28:38","01:03:54","--","--"
Course à pied,2023-01-20 10:55:51,false,"Dompierre-sur-Yon - AS 10 : 2x1,5km + 2x1km @4'00/km","11.45","886","01:05:15","154","194","3.9","160","190","5:42","3:24","64","64","1.07","9.2","9.7","273","49.2% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","Non","01:56.41.6","16","23.0","31","17","47","01:04:28","01:05:15","64","85"
Course à pied,2023-01-19 10:05:40,false,"Dompierre-sur-Yon Course à pied","7.93","582","00:45:51","137","156","2.6","166","171","5:47","5:15","47","43","1.04","9.9","10.4","269","49.5% G / 50.5% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","Non","05:32.24.3","8","24.0","27","15","35","00:45:49","00:45:51","68","87"
Cyclisme,2023-01-18 15:48:53,false,"Dompierre-sur-Yon Cyclisme","26.73","682","01:03:48","137","154","2.5","0","0","25.1","42.1","189","189","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","8.0","0:00","Non","01:43.36.1","27","22.0","29","22","38","01:03:38","01:03:48","55","89"
En piscine,2023-01-18 14:13:19,false,"En piscine","1,700","394","00:49:16","139","180","3.1","0","0","1:55","1:33","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","826","82","25","0","--","0:00","0.0","0:00","Non","00:14.36.4","38","0.0","--","--","--","00:32:31","00:50:14","--","--"
Course à pied,2023-01-17 11:10:58,false,"AS 5 : 10x400m @3'46/km r : 1'30","11.29","910","01:07:26","152","192","3.8","159","197","5:58","2:57","65","63","1.03","10.0","9.9","274","49.1% G / 50.9% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","Non","00:45.79.3","27","23.0","30","12","46","01:06:55","01:07:26","69","88"
Course à pied,2023-01-16 10:35:28,false,"Dompierre-sur-Yon Course à pied","6.86","511","00:40:33","138","151","2.6","167","173","5:54","5:04","43","45","1.02","10.1","10.5","267","49.0% G / 51.0% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","05:20.18.2","7","24.0","27","18","33","00:40:31","00:40:33","64","87"
