Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme,2022-12-07 15:52:47,false,"21km Belleville-Poiré-Dompierre","21.95","594","00:47:13","144","159","--","0","0","27.9","42.5","157","121","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","Non","01:44.07.8","22","22.0","--","--","--","00:47:07","00:47:13","60","122"
En piscine,2022-12-07 14:10:39,false,"En piscine","2,000","450","00:58:12","0","0","--","0","0","1:52","1:43","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","926","81","25","0","--","0:00","25.0","0:00","Non","00:03.15.1","46","26.0","--","--","--","00:37:13","00:58:30","--","--"
Course à pied,2022-12-07 10:25:47,false,"8km EF","8.00","505","00:43:47","137","151","--","167","178","5:28","4:59","37","73","1.09","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","05:11.71.6","8","21.0","--","--","--","00:43:45","00:43:47","31","87"
Course à pied,2022-12-06 19:00:24,false,"VMA : 2x(6x30''/30'') @105% r=3'","7.65","555","00:45:01","143","188","--","162","190","5:53","3:11","20","20","1.04","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","04:01.64.7","8","27.0","--","--","--","00:44:58","00:45:01","72","87"
Course à pied,2022-12-05 19:04:01,false,"45' EF","7.83","536","00:45:01","139","155","--","164","180","5:45","4:13","63","64","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","04:48.35.1","8","24.0","--","--","--","00:44:59","00:45:01","61","90"
Course à pied,2022-12-03 15:21:25,false,"SL/SV2 : 2x10' à 85/90% FCM r : 2'30","13.42","831","01:09:36","146","180","--","167","178","5:11","3:57","50","49","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","00:00.34.5","17","25.0","--","--","--","01:09:32","01:09:59","69","87"
En piscine,2022-12-03 10:15:33,false,"En piscine","1,950","439","00:56:07","0","0","--","0","0","1:58","1:46","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","979","84","26","0","--","0:00","24.0","0:00","Non","00:06.78.2","34","26.0","--","--","--","00:38:23","00:56:12","--","--"
Course à pied,2022-12-02 16:03:16,false,"Enchainement (2) : 40' en EF","7.24","474","00:40:26","141","151","--","165","174","5:35","4:50","47","51","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","01:20.89.4","8","20.0","--","--","--","00:40:22","00:40:26","63","85"
Cyclisme,2022-12-02 15:13:24,false,"Enchainement (1) : 21km Belleville-Poiré-Dompierre","21.46","552","00:46:56","141","156","--","0","0","27.4","41.1","159","153","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","01:03.78.4","22","27.0","--","--","--","00:46:50","00:46:56","62","105"
Course à pied,2022-12-01 11:35:23,false,"AS10 : 2x1,5km (r : 2'30'') + 2x1km (r : 2'00) @ 4'00/km","12.39","830","01:09:02","150","190","--","159","194","5:34","2:38","96","92","1.11","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","00:00.37.7","18","26.0","--","--","--","01:08:30","01:09:02","67","88"
Cyclisme,2022-11-30 15:55:00,false,"Dompierre-Belleville-Dompierre","13.06","409","00:29:38","152","176","--","0","0","26.4","40.4","95","95","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:10.86.1","14","26.0","--","--","--","00:29:34","00:29:38","64","87"
En piscine,2022-11-30 14:14:45,false,"En piscine","2,000","457","00:57:30","0","0","--","0","0","1:57","1:48","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","968","83","25","0","--","0:00","25.0","0:00","Non","00:06.07.7","48","26.0","--","--","--","00:39:04","00:57:36","--","--"
Cyclisme,2022-11-29 15:21:18,false,"21km Belleville-Poiré-Dompierre","21.46","585","00:45:29","145","168","--","0","0","28.3","39.5","176","137","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","01:09.65.2","22","27.0","--","--","--","00:45:23","00:45:29","72","133"
Course à pied,2022-11-29 10:33:08,false,"AS5 : 10x400m @ 3'46/km","11.58","758","01:08:30","141","183","--","160","200","5:55","2:49","72","87","1.04","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:02.66.4","26","27.0","--","--","--","01:08:08","01:08:30","51","87"
Course à pied,2022-11-28 16:12:22,false,"EF : 45' à 70% FCM","7.96","533","00:47:13","139","151","--","164","174","5:56","4:33","51","50","1.03","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","05:45.78.5","8","27.0","--","--","--","00:47:11","00:47:13","66","88"
Course à pied,2022-11-26 14:40:10,false,"SL/SV1 : 10' à 80/85% FCM","10.30","690","00:58:47","145","173","--","165","178","5:42","4:16","45","43","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:00.37.5","15","25.0","--","--","--","00:58:44","00:58:47","69","87"
En piscine,2022-11-26 10:14:11,false,"En piscine","2,150","481","00:59:55","0","0","--","0","0","1:56","0:36","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1027","82","25","0","--","0:00","25.0","0:00","Non","00:05.72.9","34","26.0","--","--","--","00:41:24","01:00:45","--","--"
Course à pied,2022-11-25 09:45:36,false,"AS10 : 3x1,5 km @ 4'00/km","11.98","833","01:08:34","150","198","--","160","196","5:44","3:05","38","38","1.07","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:26.48.2","16","26.0","--","--","--","01:08:05","01:08:34","70","85"
Course à pied,2022-11-24 15:17:06,false,"Recovery Run","6.83","472","00:40:33","142","156","--","162","176","5:56","5:01","34","53","1.04","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","05:11.52.3","7","26.0","--","--","--","00:40:32","00:40:33","47","84"
Cyclisme,2022-11-24 09:43:40,false,"25km Belleville-Poiré-Mouilleron","25.54","756","00:55:12","154","174","--","0","0","27.8","42.2","270","247","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","01:10.17.5","26","26.0","--","--","--","00:55:01","00:55:12","58","106"
En piscine,2022-11-23 14:10:14,false,"En piscine","2,000","457","00:57:27","0","0","--","0","0","1:58","1:31","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","960","83","24","0","--","0:00","25.0","0:00","Non","00:10.09.7","44","26.0","--","--","--","00:39:20","00:57:33","--","--"
Course à pied,2022-11-22 10:53:34,false,"VMA : 2x(8x30"/30") r=3'","10.03","754","01:00:25","152","199","--","158","206","6:02","2:49","65","85","1.04","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:28.50.3","39","25.0","--","--","--","00:59:43","01:02:57","49","86"
Course à pied,2022-11-21 10:52:25,false,"EF/SV1 : 10' à 80/85% FCM","9.58","644","00:52:22","146","177","--","167","186","5:28","4:12","43","42","1.09","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","03:24.23.5","10","25.0","--","--","--","00:52:19","00:52:22","69","87"
Course à pied,2022-11-18 16:11:26,false,"Tours AS10 : 4x1km @ 4'00/km","11.11","830","00:59:50","160","199","--","165","182","5:23","3:44","21","48","1.12","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:45.60.2","12","26.0","--","--","--","00:59:47","00:59:50","6","39"
Course à pied,2022-11-17 11:21:45,false,"Dompierre-sur-Yon Course à pied","6.09","466","00:35:21","149","163","--","163","168","5:49","4:57","30","51","1.05","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:29.57.6","7","28.0","--","--","--","00:35:19","00:35:21","45","87"
Course à pied,2022-11-16 16:09:50,false,"Dompierre-sur-Yon Course à pied","8.17","619","00:44:50","154","196","--","165","190","5:29","3:41","207","230","1.11","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:59.59.4","9","26.0","--","--","--","00:44:47","00:44:50","27","84"
Course à pied,2022-11-15 15:29:17,false,"Dompierre-sur-Yon Course à pied","8.13","528","00:43:39","143","163","--","164","173","5:22","4:54","176","186","1.02","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","01:39.75.8","8","29.0","--","--","--","00:42:19","00:43:39","-43","-2"
Course à pied,2022-11-09 11:18:15,false,"Dompierre-sur-Yon Course à pied","10.00","621","00:56:56","138","153","--","163","176","5:42","4:54","48","66","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:01.06.2","11","26.0","--","--","--","00:56:52","00:56:56","52","87"
Course à pied,2022-11-08 11:12:02,false,"Dompierre-sur-Yon Course à pied","10.99","713","01:00:33","147","190","--","156","206","5:31","2:15","73","77","1.20","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","04:53.37.7","11","27.0","--","--","--","01:00:30","01:00:33","60","87"
Course à pied,2022-11-07 11:18:34,false,"Dompierre-sur-Yon Course à pied","13.04","849","01:11:37","149","181","--","164","176","5:30","3:58","118","99","1.11","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:12.77.4","14","27.0","--","--","--","01:11:34","01:11:37","60","106"
Course à pied,2022-11-05 17:07:54,false,"Dompierre-sur-Yon Course à pied","10.19","667","01:04:40","136","147","--","159","166","6:21","5:10","64","74","0.99","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","01:18.01","11","26.0","--","--","--","01:04:21","01:04:40","52","87"
En piscine,2022-11-05 10:09:31,false,"En piscine","2,500","556","01:06:47","0","0","--","0","0","2:02","1:45","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1275","86","25","0","--","0:00","26.0","0:00","Non","00:03.68.4","32","27.0","--","--","--","00:50:46","01:07:05","--","--"
Course à pied,2022-11-04 11:46:44,false,"Dompierre-sur-Yon Course à pied","2.18","189","00:15:51","145","158","--","157","164","7:16","5:47","23","23","0.88","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","01:09.70.4","3","24.0","--","--","--","00:15:51","00:15:51","51","69"
Course à pied,2022-11-04 11:02:44,false,"Dompierre-sur-Yon Course à pied","10.01","736","00:42:33","183","196","--","171","180","4:15","3:17","42","60","1.38","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:01.05.9","11","22.0","--","--","--","00:42:29","00:42:33","68","90"
Course à pied,2022-11-04 10:35:37,false,"Dompierre-sur-Yon Course à pied","3.80","295","00:26:01","138","167","--","152","188","6:51","3:08","30","47","0.96","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","05:53.02.2","4","26.0","--","--","--","00:25:42","00:26:01","64","90"
Course à pied,2022-11-03 11:18:26,false,"Dompierre-sur-Yon Course à pied","11.21","735","01:01:51","148","177","--","163","172","5:31","4:25","371","389","1.11","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","01:18.58.4","12","27.0","--","--","--","01:01:46","01:01:51","34","84"
En piscine,2022-11-02 15:18:59,false,"En piscine","2,400","533","01:01:32","0","0","--","0","0","2:01","1:49","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1235","86","26","0","--","0:00","25.0","0:00","Non","00:13.19.9","28","26.0","--","--","--","00:48:23","01:02:16","--","--"
Cyclisme,2022-11-02 10:26:31,false,"Dompierre-sur-Yon Cyclisme","25.55","762","00:53:50","156","186","--","0","0","28.5","44.2","191","185","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","01:17.05.4","26","28.0","--","--","--","00:53:39","00:53:50","56","94"
Course à pied,2022-11-01 08:06:48,false,"Dompierre-sur-Yon Course à pied","11.20","564","01:02:22","141","157","--","161","170","5:34","4:29","30","68","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","03:05.95.5","9","26.0","--","--","--","00:49:31","00:49:41","39","88"
Course à pied,2022-10-31 09:17:30,false,"Dompierre-sur-Yon Course à pied","11.80","902","01:10:19","155","199","--","157","198","5:58","2:37","110","93","1.04","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","01:00.00","31","27.0","--","--","--","01:09:26","01:12:19","58","101"
Marche à pied,2022-10-30 16:01:46,false,"Dompierre-sur-Yon Marche à pied","2.54","171","00:34:34","101","119","--","104","239","13:37","2:41","34","33","0.71","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","11:57.46.5","2","27.0","--","--","--","00:33:45","00:34:34","64","86"
Course à pied,2022-10-29 15:16:41,false,"Dompierre-sur-Yon Course à pied","12.07","760","01:10:24","143","162","--","161","168","5:50","4:19","66","88","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","00:25.30.9","13","28.0","--","--","--","01:10:20","01:10:46","43","88"
En piscine,2022-10-29 10:15:33,false,"En piscine","2,400","534","01:01:33","0","0","--","0","0","2:02","1:42","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1279","88","26","0","--","0:00","25.0","0:00","Non","00:18.21.8","26","26.0","--","--","--","00:48:51","01:02:14","--","--"
Cyclisme,2022-10-28 13:15:12,false,"La Roche-sur-Yon Cyclisme","7.99","264","00:19:12","149","169","--","0","0","25.0","47.4","133","72","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:49.12.4","8","28.0","--","--","--","00:19:02","00:19:34","72","139"
Course à pied,2022-10-28 11:59:04,false,"La Roche-sur-Yon Course à pied","13.11","953","01:10:18","160","194","--","159","188","5:22","2:49","91","64","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","02:20.28.7","15","27.0","--","--","--","01:09:01","01:10:18","72","109"
Cyclisme,2022-10-28 11:27:34,false,"Dompierre-sur-Yon Cyclisme","9.11","278","00:22:52","140","155","--","0","0","23.9","41.2","91","114","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:37.64.8","10","29.0","--","--","--","00:22:47","00:22:52","59","87"
Course à pied,2022-10-27 08:43:36,false,"Dompierre-sur-Yon Course à pied","10.97","678","01:02:15","140","155","--","163","174","5:40","4:54","63","83","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","05:22.08.3","11","27.0","--","--","--","01:02:13","01:02:15","48","88"
Cyclisme,2022-10-26 16:34:29,false,"La Roche-sur-Yon Cyclisme","15.66","500","00:38:18","147","172","--","0","0","24.5","44.7","271","240","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:42.87.9","16","27.0","--","--","--","00:37:58","00:39:14","37","106"
En piscine,2022-10-26 15:29:45,false,"En piscine","1,900","423","00:54:33","0","0","--","0","0","2:03","1:46","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","968","87","25","0","--","0:00","25.0","0:00","Non","00:11.30.3","36","26.0","--","--","--","00:38:49","00:54:52","--","--"
Cyclisme,2022-10-26 14:41:34,false,"Dompierre-sur-Yon Cyclisme","15.71","464","00:38:44","139","175","--","0","0","24.3","43.9","225","252","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:52.67.8","16","28.0","--","--","--","00:38:28","00:39:23","38","86"
Course à pied,2022-10-25 10:48:35,false,"Dompierre-sur-Yon Course à pied","12.33","796","01:06:24","151","190","--","163","180","5:23","3:31","77","79","1.13","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:08.28.4","17","28.0","--","--","--","01:06:02","01:06:24","62","86"
Course à pied,2022-10-24 15:27:28,false,"Dompierre-sur-Yon Course à pied","11.53","695","01:02:53","143","158","--","166","174","5:27","4:33","60","59","1.10","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","02:56.04.4","12","29.0","--","--","--","01:02:50","01:02:53","69","86"
Cyclisme,2022-10-21 13:17:42,false,"La Roche-sur-Yon Cyclisme","8.21","257","00:18:55","149","173","--","0","0","26.0","46.7","103","92","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:39.85.4","9","27.0","--","--","--","00:18:47","00:19:20","52","85"
Course à pied,2022-10-21 11:59:17,false,"La Roche-sur-Yon Course à pied","12.98","969","01:13:37","157","191","--","151","191","5:40","3:06","258","86","1.14","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:11.17.3","17","27.0","--","--","--","01:10:50","01:13:37","63","236"
Cyclisme,2022-10-21 11:30:36,false,"Dompierre-sur-Yon Cyclisme","8.32","241","00:21:14","134","148","--","0","0","23.5","41.5","109","115","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","01:18.27.6","9","28.0","--","--","--","00:21:03","00:21:26","48","197"
Course à pied,2022-10-20 11:06:45,false,"Dompierre-sur-Yon Course à pied","10.86","756","01:02:16","145","159","--","161","168","5:44","4:18","67","80","1.09","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","05:16.52.2","11","29.0","--","--","--","01:02:12","01:02:16","52","86"
En piscine,2022-10-19 15:02:05,false,"En piscine","1,800","405","00:53:51","0","0","--","0","0","2:03","1:42","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","953","88","26","0","--","0:00","26.0","0:00","Non","00:05.79.6","38","26.0","--","--","--","00:36:56","00:56:17","--","--"
Cyclisme,2022-10-19 12:26:58,false,"Mouilleron-le-Captif Cyclisme","5.75","157","00:13:25","135","160","--","0","0","25.7","33.3","35","30","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","01:46.77.7","6","25.0","--","--","--","00:13:20","00:14:23","59","79"
Cyclisme,2022-10-19 10:54:02,false,"Dompierre-sur-Yon Cyclisme","6.05","161","00:12:39","142","167","--","0","0","28.7","38.0","24","49","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:21.06.3","7","26.0","--","--","--","00:12:31","00:13:09","52","84"
Cyclisme,2022-10-18 13:11:11,false,"La Roche-sur-Yon Cyclisme","8.25","278","00:20:55","148","177","--","0","0","23.7","45.9","146","121","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","00:51.15.4","9","30.0","--","--","--","00:20:45","00:21:27","60","98"
Course à pied,2022-10-18 12:55:45,false,"La Roche-sur-Yon Course à pied","1.37","116","00:10:01","143","149","--","155","160","7:20","6:33","6","7","0.88","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","Non","02:39.31.9","2","31.0","--","--","--","00:09:56","00:10:01","69","73"
Course à pied,2022-10-18 12:25:50,false,"La Roche-sur-Yon Course à pied","5.45","433","00:27:34","171","198","--","155","211","5:04","3:16","41","46","1.27","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Non","01:45.12.8","6","29.0","--","--","--","00:26:06","00:27:34","62","77"
Course à pied,2022-10-18 11:54:10,false,"La Roche-sur-Yon Course à pied","4.60","387","00:28:46","148","170","--","145","187","6:15","2:57","35","37","1.09","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","05:22.14.3","5","29.0","--","--","--","00:27:00","00:31:01","65","79"
Cyclisme,2022-10-18 11:29:19,false,"Dompierre-sur-Yon Cyclisme","8.35","255","00:19:30","144","164","--","0","0","25.7","42.0","90","111","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:11.51.6","9","27.0","--","--","--","00:19:28","00:19:30","56","84"
Course à pied,2022-10-17 10:49:04,false,"Dompierre-sur-Yon Course à pied","14.56","959","01:16:22","150","178","--","164","175","5:15","4:12","62","61","1.16","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","03:27.47.3","15","27.0","--","--","--","01:16:13","01:16:22","69","86"
Cyclisme,2022-10-16 15:06:01,false,"Dompierre-sur-Yon Cyclisme","48.64","1,135","01:57:04","137","163","--","0","0","24.9","49.6","283","284","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","01:41.80.7","49","33.0","--","--","--","01:56:32","02:22:19","62","95"
Course à pied,2022-10-15 15:20:22,false,"Dompierre-sur-Yon Course à pied","14.13","913","01:14:24","148","173","--","165","176","5:16","4:00","70","68","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:41.67.9","15","27.0","--","--","--","01:14:21","01:14:24","69","86"
En piscine,2022-10-15 10:18:54,false,"En piscine","2,000","451","00:55:09","0","0","--","0","0","2:04","1:36","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1065","89","26","0","--","0:00","25.0","0:00","Non","00:08.66.8","28","26.0","--","--","--","00:41:24","00:55:33","--","--"
Course à pied,2022-10-14 10:44:29,false,"Dompierre-sur-Yon Course à pied","12.63","827","01:13:59","141","158","--","160","175","5:51","4:03","121","158","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","03:42.36.5","13","27.0","--","--","--","01:13:55","01:13:59","29","87"
Course à pied,2022-10-12 11:53:30,false,"Dompierre-sur-Yon Course à pied","2.34","206","00:15:32","149","165","--","157","166","6:38","4:19","21","18","0.96","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","02:10.36","3","28.0","--","--","--","00:15:32","00:15:32","62","82"
Course à pied,2022-10-12 11:23:04,false,"Dompierre-sur-Yon Course à pied","6.44","490","00:29:42","174","195","--","165","178","4:37","3:24","79","30","1.31","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","01:49.90.2","7","25.0","--","--","--","00:29:40","00:29:42","75","127"
Course à pied,2022-10-12 11:15:49,false,"Dompierre-sur-Yon Course à pied","0.63","85","00:05:57.3","151","168","--","112","187","9:23","3:08","2","1","0.95","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","05:57.26.4","1","25.0","--","--","--","00:05:30","00:05:57.3","74","76"
Course à pied,2022-10-12 10:53:20,false,"Dompierre-sur-Yon Course à pied","3.96","309","00:21:49","149","168","--","162","171","5:30","4:29","14","38","1.12","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","05:16.87.8","4","26.0","--","--","--","00:21:49","00:21:49","59","87"
Course à pied,2022-10-11 10:43:14,false,"Dompierre-sur-Yon Course à pied","11.13","797","01:03:42","144","158","--","162","173","5:43","4:27","71","88","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:46.31.4","12","26.0","--","--","--","01:03:40","01:03:42","49","87"
Cyclisme,2022-10-10 13:05:47,false,"La Roche-sur-Yon Cyclisme","8.24","254","00:21:35","135","150","--","0","0","22.9","44.4","118","101","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:48.65.2","9","27.0","--","--","--","00:21:29","00:21:43","59","95"
Course à pied,2022-10-10 12:47:28,false,"La Roche-sur-Yon Course à pied","1.78","146","00:13:05","137","141","--","154","160","7:21","6:31","6","6","0.88","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","05:40.06.7","2","26.0","--","--","--","00:13:05","00:13:05","69","73"
Course à pied,2022-10-10 12:23:03,false,"La Roche-sur-Yon Course à pied","4.91","377","00:22:18","174","194","--","167","180","4:32","3:13","34","15","1.32","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","03:50.93.2","5","25.0","--","--","--","00:22:18","00:22:18","72","94"
Course à pied,2022-10-10 11:52:57,false,"La Roche-sur-Yon Course à pied","4.18","328","00:25:10","143","167","--","156","189","6:01","4:04","19","19","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","01:52.07.1","5","26.0","--","--","--","00:24:56","00:27:03","70","74"
Cyclisme,2022-10-10 11:27:40,false,"Dompierre-sur-Yon Cyclisme","8.17","225","00:19:22","134","155","--","0","0","25.3","42.5","70","96","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:27.41.3","9","27.0","--","--","--","00:19:16","00:19:42","47","84"
