Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Allure moyenne,Meilleure allure
Cyclisme,2022-07-23 11:20:36,15.2,536,59.25,129,157,15.4,39.5
Cyclisme,2022-07-23 09:22:48,15.16,518,47.55,134,166,19.1,37.4
Cyclisme,2022-07-03 12:17:18,8.1,141,36.36666666666667,87,124,13.4,21.1
Cyclisme,2022-07-03 11:15:38,2.97,86,14.283333333333333,101,128,12.5,17.3
Cyclisme,2022-04-21 16:06:25,9.09,431,28.316666666666666,165,187,19.3,41.2
Cyclisme,2022-04-19 16:42:00,40.09,941,132.56666666666666,122,155,18.1,39.7
Cyclisme,2022-04-09 18:48:13,6.07,196,31.466666666666665,106,132,11.6,33.1
Cyclisme,2022-02-16 12:08:37,15.11,404,50.06666666666667,121,156,18.1,36.5
Cyclisme,2022-02-16 10:13:43,3.37,105,11.4,120,148,17.7,30.6
Cyclisme,2022-02-15 15:26:08,11.54,379,35.18333333333333,135,174,19.7,40.3
Cyclisme,2022-01-14 13:37:20,15.14,558,52.95,134,167,17.2,37.7
Cyclisme,2022-01-14 11:20:43,14.96,341,45.46666666666667,116,160,19.7,36.4
Cyclisme,2022-01-11 13:37:58,15.11,331,48.96666666666667,112,133,18.5,41.2
Cyclisme,2022-01-11 11:24:17,15.11,298,46.06666666666667,109,142,19.7,38.5
Cyclisme,2022-01-05 17:30:38,15.0,507,54.833333333333336,128,176,16.4,37.5
Cyclisme,2022-01-05 15:07:20,15.2,381,45.016666666666666,122,160,20.3,37.6
Cyclisme,2021-12-17 13:32:25,15.14,337,52.03333333333333,106,139,17.5,38.4
Cyclisme,2021-12-17 11:12:19,15.07,318,45.36666666666667,103,130,19.9,39.4
Cyclisme,2021-12-14 13:27:42,15.08,374,51.81666666666667,115,137,17.5,37.1
Cyclisme,2021-12-14 11:12:28,15.21,325,51.2,109,151,17.8,37.1
Cyclisme,2021-12-12 10:35:31,17.64,394,59.25,111,143,17.9,38.7
Cyclisme,2021-12-07 13:13:09,15.13,375,52.65,114,138,17.2,33.9
Cyclisme,2021-12-07 11:37:21,3.52,134,11.0,138,164,19.2,33.2
