Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Longueur moyenne des foulées,Temps de contact moyen avec le sol
Course à pied,2022-02-02 09:28:41,2.32,283,18.883333333333333,164,185,140,187,8.15,4.383333333333334,0.88,0
Course à pied,2022-02-02 08:42:18,4.11,324,24.95,150,182,126,178,6.066666666666666,3.3,1.34,0
Course à pied,2022-02-01 17:48:31,7.04,482,31.766666666666666,165,186,161,174,4.516666666666667,3.4,1.38,0
Course à pied,2022-01-31 17:42:35,7.31,555,35.13333333333333,171,195,161,177,4.816666666666666,3.2666666666666666,1.29,0
Course à pied,2022-01-28 17:10:57,4.35,298,22.266666666666666,149,171,155,249,5.116666666666666,2.85,1.27,0
Course à pied,2022-01-27 18:01:45,6.26,482,31.366666666666667,168,186,155,218,5.016666666666667,3.5166666666666666,1.29,0
Course à pied,2022-01-16 13:02:47,8.07,614,43.18333333333333,155,177,151,183,5.35,3.183333333333333,1.24,0
Course à pied,2022-01-13 11:46:34,9.29,712,49.0,158,179,157,218,5.283333333333333,2.283333333333333,1.21,0
Course à pied,2022-01-12 11:44:04,9.05,677,43.1,167,192,164,174,4.766666666666667,4.383333333333334,1.27,0
Course à pied,2022-01-10 11:37:22,7.84,582,37.61666666666667,163,181,164,172,4.8,4.133333333333334,1.27,0
Course à pied,2022-01-07 11:51:57,8.94,668,44.06666666666667,162,185,163,170,4.933333333333334,4.383333333333334,1.25,0
Course à pied,2022-01-06 12:07:18,7.48,577,38.583333333333336,160,188,155,206,5.15,2.4333333333333336,1.25,0
Course à pied,2022-01-04 11:22:24,7.84,612,38.833333333333336,169,191,162,172,4.95,4.116666666666666,1.25,0
Course à pied,2022-01-03 11:10:24,6.76,533,33.71666666666667,169,190,162,168,4.983333333333333,4.383333333333334,1.24,0
Course à pied,2021-12-31 12:06:53,5.66,451,27.45,173,192,161,168,4.85,4.516666666666667,1.25,0
Course à pied,2021-12-25 11:14:36,4.51,296,20.85,150,164,164,172,4.616666666666667,4.066666666666666,1.27,0
Course à pied,2021-12-23 13:07:45,4.51,316,20.95,159,188,160,168,4.65,4.2,1.3,0
Course à pied,2021-12-21 11:19:08,6.72,497,33.06666666666667,160,181,161,177,4.916666666666667,4.233333333333333,1.26,0
Course à pied,2021-12-20 13:16:31,4.3,315,20.966666666666665,159,176,164,199,4.866666666666667,4.133333333333334,1.25,0
Course à pied,2021-12-16 11:10:00,4.51,337,23.466666666666665,154,176,157,168,5.2,4.683333333333334,1.22,0
Course à pied,2021-12-01 11:26:02,7.84,652,38.53333333333333,175,195,161,170,4.916666666666667,4.4,1.27,0
Course à pied,2021-11-30 16:52:00,5.65,478,28.016666666666666,175,193,158,164,4.966666666666667,4.45,1.28,0
Course à pied,2021-11-19 10:19:36,7.86,612,37.583333333333336,167,186,161,170,4.783333333333333,4.15,1.3,0
Course à pied,2021-11-18 10:43:39,8.97,758,46.81666666666667,171,196,154,187,5.216666666666667,3.4,1.24,0
