Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Longueur moyenne des foulées,Temps de contact moyen avec le sol
Course à pied,2022-11-16 16:09:50,8.17,619,44.833333333333336,154,196,165,190,5.483333333333333,3.6833333333333336,1.11,0
Course à pied,2022-11-15 15:29:17,8.13,528,43.65,143,163,164,173,5.366666666666666,4.9,1.02,0
Course à pied,2022-11-09 11:18:15,10.0,621,56.93333333333333,138,153,163,176,5.7,4.9,1.08,0
Course à pied,2022-11-08 11:12:02,10.99,713,60.55,147,190,156,206,5.516666666666667,2.25,1.2,0
Course à pied,2022-11-07 11:18:34,13.04,849,71.61666666666666,149,181,164,176,5.5,3.966666666666667,1.11,0
Course à pied,2022-11-05 17:07:54,10.19,667,64.66666666666667,136,147,159,166,6.35,5.166666666666667,0.99,0
Course à pied,2022-11-04 11:46:44,2.18,189,15.85,145,158,157,164,7.266666666666667,5.783333333333333,0.88,0
Course à pied,2022-11-04 11:02:44,10.01,736,42.55,183,196,171,180,4.25,3.283333333333333,1.38,0
Course à pied,2022-11-04 10:35:37,3.8,295,26.016666666666666,138,167,152,188,6.85,3.1333333333333333,0.96,0
Course à pied,2022-11-03 11:18:26,11.21,735,61.85,148,177,163,172,5.516666666666667,4.416666666666667,1.11,0
Course à pied,2022-11-01 08:06:48,11.2,564,62.36666666666667,141,157,161,170,5.566666666666666,4.483333333333333,1.06,0
Course à pied,2022-10-31 09:17:30,11.8,902,70.31666666666666,155,199,157,198,5.966666666666667,2.6166666666666667,1.04,0
Course à pied,2022-10-29 15:16:41,12.07,760,70.4,143,162,161,168,5.833333333333333,4.316666666666666,1.06,0
Course à pied,2022-10-28 11:59:04,13.11,953,70.3,160,194,159,188,5.366666666666666,2.8166666666666664,1.15,0
Course à pied,2022-10-27 08:43:36,10.97,678,62.25,140,155,163,174,5.666666666666667,4.9,1.08,0
Course à pied,2022-10-25 10:48:35,12.33,796,66.4,151,190,163,180,5.383333333333334,3.5166666666666666,1.13,0
Course à pied,2022-10-24 15:27:28,11.53,695,62.88333333333333,143,158,166,174,5.45,4.55,1.1,0
Course à pied,2022-10-21 11:59:17,12.98,969,73.61666666666666,157,191,151,191,5.666666666666667,3.1,1.14,0
Course à pied,2022-10-20 11:06:45,10.86,756,62.266666666666666,145,159,161,168,5.733333333333333,4.3,1.09,0
Course à pied,2022-10-18 12:55:45,1.37,116,10.016666666666667,143,149,155,160,7.333333333333333,6.55,0.88,0
Course à pied,2022-10-18 12:25:50,5.45,433,27.566666666666666,171,198,155,211,5.066666666666666,3.2666666666666666,1.27,0
Course à pied,2022-10-18 11:54:10,4.6,387,28.766666666666666,148,170,145,187,6.25,2.95,1.09,0
Course à pied,2022-10-17 10:49:04,14.56,959,76.36666666666666,150,178,164,175,5.25,4.2,1.16,0
Course à pied,2022-10-15 15:20:22,14.13,913,74.4,148,173,165,176,5.266666666666667,4.0,1.15,0
Course à pied,2022-10-14 10:44:29,12.63,827,73.98333333333333,141,158,160,175,5.85,4.05,1.06,0
Course à pied,2022-10-12 11:53:30,2.34,206,15.533333333333333,149,165,157,166,6.633333333333333,4.316666666666666,0.96,0
Course à pied,2022-10-12 11:23:04,6.44,490,29.7,174,195,165,178,4.616666666666667,3.4,1.31,0
Course à pied,2022-10-12 11:15:49,0.63,85,5.95,151,168,112,187,9.383333333333333,3.1333333333333333,0.95,0
Course à pied,2022-10-12 10:53:20,3.96,309,21.816666666666666,149,168,162,171,5.5,4.483333333333333,1.12,0
Course à pied,2022-10-11 10:43:14,11.13,797,63.7,144,158,162,173,5.716666666666667,4.45,1.08,0
Course à pied,2022-10-10 12:47:28,1.78,146,13.083333333333334,137,141,154,160,7.35,6.516666666666667,0.88,0
Course à pied,2022-10-10 12:23:03,4.91,377,22.3,174,194,167,180,4.533333333333333,3.216666666666667,1.32,0
Course à pied,2022-10-10 11:52:57,4.18,328,25.166666666666668,143,167,156,189,6.016666666666667,4.066666666666666,1.06,0
Course à pied,2022-10-08 15:48:00,13.78,906,74.53333333333333,145,161,162,168,5.4,4.166666666666667,1.14,0
Course à pied,2022-10-07 12:24:20,1.39,119,10.083333333333334,139,166,147,160,7.25,6.133333333333334,0.94,0
Course à pied,2022-10-07 12:00:38,4.93,360,23.3,169,188,146,176,4.733333333333333,3.55,1.44,0
Course à pied,2022-10-07 11:53:26,0.72,91,6.366666666666666,151,164,150,203,8.866666666666667,2.6333333333333333,0.75,0
Course à pied,2022-10-07 11:36:11,2.84,201,14.483333333333333,149,168,162,168,5.1,4.216666666666667,1.21,0
Course à pied,2022-10-05 09:50:48,13.85,1025,75.71666666666667,154,178,163,178,5.466666666666667,4.116666666666666,1.12,0
Course à pied,2022-10-04 09:39:12,10.51,752,61.78333333333333,144,158,160,173,5.883333333333333,4.55,1.06,0
Course à pied,2022-10-03 12:03:21,1.77,177,12.15,161,190,154,159,6.883333333333333,3.9166666666666665,0.94,0
Course à pied,2022-10-03 11:51:41,2.32,190,11.183333333333334,177,196,161,189,4.816666666666666,3.25,1.28,0
Course à pied,2022-10-03 11:38:14,2.32,182,10.833333333333334,175,195,164,186,4.666666666666667,3.25,1.31,0
Course à pied,2022-10-03 11:08:35,4.45,350,27.45,142,174,153,213,6.166666666666667,2.5833333333333335,1.05,0
Course à pied,2022-10-01 17:41:21,13.4,964,75.31666666666666,148,179,161,173,5.616666666666667,4.0,1.1,0
Course à pied,2022-09-30 11:52:16,1.24,122,9.233333333333333,154,185,153,160,7.433333333333334,5.766666666666667,0.88,0
Course à pied,2022-09-30 11:35:06,3.62,269,16.466666666666665,170,188,166,192,4.55,2.85,1.32,0
Course à pied,2022-09-30 11:28:11,1.0,72,4.766666666666667,160,177,166,186,4.783333333333333,3.1166666666666667,1.26,0
Course à pied,2022-09-30 11:06:51,3.69,284,19.05,154,174,164,173,5.166666666666667,3.8666666666666667,1.18,0
Course à pied,2022-09-29 15:40:47,8.9,681,51.63333333333333,149,165,160,170,5.8,4.4,1.08,0
Course à pied,2022-09-27 12:21:13,1.26,117,8.266666666666667,157,172,158,163,6.583333333333333,5.016666666666667,0.96,0
Course à pied,2022-09-27 12:15:07,1.02,64,4.033333333333333,164,193,169,175,3.95,3.8,1.5,0
Course à pied,2022-09-27 12:09:06,1.02,66,3.8833333333333333,178,185,170,175,3.8,3.6333333333333333,1.55,0
Course à pied,2022-09-27 12:03:04,1.02,65,3.9833333333333334,171,175,168,174,3.9,3.65,1.53,0
Course à pied,2022-09-27 11:56:56,1.03,60,3.9333333333333336,158,188,168,175,3.85,3.716666666666667,1.55,0
